id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	TBepi2057.genome.CDS.1834	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	TBepi2057.genome.CDS.1257	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn01199_c0	<=>	c0	TBepi2057.genome.CDS.1275	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(TBepi2057.genome.CDS.1306) or (TBepi2057.genome.CDS.984)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	TBepi2057.genome.CDS.1435	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn03638_c0	=>	c0	((TBepi2057.genome.CDS.1652) or (TBepi2057.genome.CDS.1938)) and ((TBepi2057.genome.CDS.1652) or (TBepi2057.genome.CDS.1938))	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	(TBepi2057.genome.CDS.1792) or (TBepi2057.genome.CDS.1757)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn03954_c0	<=>	c0	TBepi2057.genome.CDS.1139	L-Idonate:NADP oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00573[c0] + (1) cpd00006[c0] <=> (1) cpd00067[c0] + (1) cpd00781[c0] + (1) cpd00005[c0]
rxn12636_c0	<=>	c0	((TBepi2057.genome.CDS.1684) or (TBepi2057.genome.CDS.1552) or (TBepi2057.genome.CDS.1313)) or (TBepi2057.genome.CDS.1840)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(TBepi2057.genome.CDS.1840) or ((TBepi2057.genome.CDS.1684) or (TBepi2057.genome.CDS.1552) or (TBepi2057.genome.CDS.1313))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(TBepi2057.genome.CDS.1614) or (TBepi2057.genome.CDS.1803)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	TBepi2057.genome.CDS.1038	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(TBepi2057.genome.CDS.1510) or (TBepi2057.genome.CDS.1508) or (TBepi2057.genome.CDS.1511) or (TBepi2057.genome.CDS.1509)	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn01737_c0	=>	c0	TBepi2057.genome.CDS.1553	Raffinose fructohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00382[c0] => (1) cpd03198[c0] + (1) cpd00082[c0]
rxn05544_c0	=>	c0	(TBepi2057.genome.CDS.1614) or (TBepi2057.genome.CDS.1803)	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn05549_c0	=>	c0	() and (TBepi2057.genome.CDS.1134) and ((TBepi2057.genome.CDS.1133) or (TBepi2057.genome.CDS.991)) and ()	Deoxyribose transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd01242[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd01242[c0] + (1) cpd00008[c0]
rxn03910_c0	<=>	c0	TBepi2057.genome.CDS.119	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn08527_c0	<=>	c0	(((TBepi2057.genome.CDS.1559) or (TBepi2057.genome.CDS.574)) and (TBepi2057.genome.CDS.1560)) or (TBepi2057.genome.CDS.1560)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn12848_c0	=>	c0	(TBepi2057.genome.CDS.1614) or (TBepi2057.genome.CDS.1803)	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn02212_c0	=>	c0	TBepi2057.genome.CDS.1594	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn03419_c0	<=>	c0	TBepi2057.genome.CDS.1633	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00067[c0] + (1) cpd03519[c0] + (1) cpd00047[c0]
rxn05408_c0	<=>	c0	TBepi2057.genome.CDS.1147	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn02160_c0	=>	c0	TBepi2057.genome.CDS.1491	L-Histidinol-phosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00807[c0] => (1) cpd00641[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn10125_c0	<=>	c0	(TBepi2057.genome.CDS.1380) and ((TBepi2057.genome.CDS.1378) or (TBepi2057.genome.CDS.1379))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
rxn00497_c0	=>	c0	TBepi2057.genome.CDS.1301	L-Phenylalanine carboxy-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00066[c0] => (1) cpd03161[c0] + (1) cpd00011[c0]
