AAA028I14.genome.CDS.1498,group00714
AAA028I14.genome.CDS.1495,group02576
AAA028I14.genome.CDS.1494,group02575
AAA028I14.genome.CDS.1497,group00768
AAA028I14.genome.CDS.1496,group00961
AAA028I14.genome.CDS.1491,group02573
AAA028I14.genome.CDS.1490,group02572
AAA028I14.genome.CDS.1493,group02574
AAA028I14.genome.CDS.1492,group01945
AAA028I14.genome.CDS.1258,group00911
AAA028I14.genome.CDS.1442,group04652
AAA028I14.genome.CDS.923,group04659
AAA028I14.genome.CDS.922,group02560
AAA028I14.genome.CDS.1538,group00537
AAA028I14.genome.CDS.920,group01677
AAA028I14.genome.CDS.1248,group00555
AAA028I14.genome.CDS.1249,group00018
AAA028I14.genome.CDS.925,group04657
AAA028I14.genome.CDS.924,group04658
AAA028I14.genome.CDS.1532,group00258
AAA028I14.genome.CDS.1533,group00066
AAA028I14.genome.CDS.1530,group00065
AAA028I14.genome.CDS.1247,group01367
AAA028I14.genome.CDS.1536,group00067
AAA028I14.genome.CDS.1241,group00586
AAA028I14.genome.CDS.1534,group00147
AAA028I14.genome.CDS.1243,group00451
AAA028I14.genome.CDS.848,group00117
AAA028I14.genome.CDS.849,group00909
AAA028I14.genome.CDS.844,group00319
AAA028I14.genome.CDS.51,group01146
AAA028I14.genome.CDS.846,group00684
AAA028I14.genome.CDS.847,group00869
AAA028I14.genome.CDS.840,group00223
AAA028I14.genome.CDS.842,group01164
AAA028I14.genome.CDS.843,group01475
AAA028I14.genome.CDS.1028,group02685
AAA028I14.genome.CDS.1182,group00444
AAA028I14.genome.CDS.1125,group00364
AAA028I14.genome.CDS.1124,group00080
AAA028I14.genome.CDS.1088,group00088
AAA028I14.genome.CDS.1126,group01615
AAA028I14.genome.CDS.1121,group00379
AAA028I14.genome.CDS.1120,group01165
AAA028I14.genome.CDS.1123,group00291
AAA028I14.genome.CDS.1122,group00491
AAA028I14.genome.CDS.1082,group01004
AAA028I14.genome.CDS.1083,group00244
AAA028I14.genome.CDS.1080,group00172
AAA028I14.genome.CDS.1081,group00145
AAA028I14.genome.CDS.1129,group00823
AAA028I14.genome.CDS.1087,group00887
AAA028I14.genome.CDS.1084,group00708
AAA028I14.genome.CDS.1085,group00312
AAA028I14.genome.CDS.817,group00301
AAA028I14.genome.CDS.1189,group00976
AAA028I14.genome.CDS.816,group00051
AAA028I14.genome.CDS.1023,group00203
AAA028I14.genome.CDS.223,group00228
AAA028I14.genome.CDS.814,group01883
AAA028I14.genome.CDS.1239,group00421
AAA028I14.genome.CDS.1238,group00034
AAA028I14.genome.CDS.1332,group01083
AAA028I14.genome.CDS.1333,group00835
AAA028I14.genome.CDS.1334,group01008
AAA028I14.genome.CDS.1335,group00676
AAA028I14.genome.CDS.1336,group00912
AAA028I14.genome.CDS.999,group01201
AAA028I14.genome.CDS.1231,group01111
AAA028I14.genome.CDS.997,group00014
AAA028I14.genome.CDS.1233,group00695
AAA028I14.genome.CDS.995,group04614
AAA028I14.genome.CDS.1235,group00416
AAA028I14.genome.CDS.993,group00089
AAA028I14.genome.CDS.1237,group00802
AAA028I14.genome.CDS.1236,group01067
AAA028I14.genome.CDS.185,group02089
AAA028I14.genome.CDS.1371,group00192
AAA028I14.genome.CDS.1313,group02061
AAA028I14.genome.CDS.1444,group04649
AAA028I14.genome.CDS.660,group02693
AAA028I14.genome.CDS.1519,group00939
AAA028I14.genome.CDS.527,group01021
AAA028I14.genome.CDS.921,group02561
AAA028I14.genome.CDS.1194,group00309
AAA028I14.genome.CDS.1195,group00274
AAA028I14.genome.CDS.1196,group04631
AAA028I14.genome.CDS.1197,group00121
AAA028I14.genome.CDS.1059,group04623
AAA028I14.genome.CDS.1191,group00151
AAA028I14.genome.CDS.1192,group00208
AAA028I14.genome.CDS.795,group04609
AAA028I14.genome.CDS.1055,group01145
AAA028I14.genome.CDS.1054,group01167
AAA028I14.genome.CDS.1057,group02688
AAA028I14.genome.CDS.1056,group02687
AAA028I14.genome.CDS.1198,group00157
AAA028I14.genome.CDS.1199,group00158
AAA028I14.genome.CDS.1052,group01076
AAA028I14.genome.CDS.1345,group02342
AAA028I14.genome.CDS.1338,group01217
AAA028I14.genome.CDS.1228,group00353
AAA028I14.genome.CDS.1244,group01525
AAA028I14.genome.CDS.982,group02562
AAA028I14.genome.CDS.1245,group01368
AAA028I14.genome.CDS.985,group02061
AAA028I14.genome.CDS.793,group04611
AAA028I14.genome.CDS.1246,group01321
AAA028I14.genome.CDS.984,group02305
AAA028I14.genome.CDS.1576,group00162
AAA028I14.genome.CDS.1577,group00867
AAA028I14.genome.CDS.1574,group00313
AAA028I14.genome.CDS.1531,group00338
AAA028I14.genome.CDS.1572,group00314
AAA028I14.genome.CDS.1573,group00659
AAA028I14.genome.CDS.1570,group00377
AAA028I14.genome.CDS.1571,group00293
AAA028I14.genome.CDS.1477,group01175
AAA028I14.genome.CDS.1476,group02174
AAA028I14.genome.CDS.1475,group01809
AAA028I14.genome.CDS.1474,group01874
AAA028I14.genome.CDS.1471,group01718
AAA028I14.genome.CDS.1579,group00107
AAA028I14.genome.CDS.1288,group00962
AAA028I14.genome.CDS.1289,group00064
AAA028I14.genome.CDS.1242,group00969
AAA028I14.genome.CDS.969,group01397
AAA028I14.genome.CDS.968,group01437
AAA028I14.genome.CDS.967,group00490
AAA028I14.genome.CDS.1281,group00370
AAA028I14.genome.CDS.965,group00739
AAA028I14.genome.CDS.1283,group00355
AAA028I14.genome.CDS.963,group04671
AAA028I14.genome.CDS.962,group04672
AAA028I14.genome.CDS.1286,group00677
AAA028I14.genome.CDS.960,group02135
AAA028I14.genome.CDS.1349,group02333
AAA028I14.genome.CDS.1227,group01283
AAA028I14.genome.CDS.813,group01918
AAA028I14.genome.CDS.812,group02176
AAA028I14.genome.CDS.811,group01917
AAA028I14.genome.CDS.810,group00290
AAA028I14.genome.CDS.1378,group00878
AAA028I14.genome.CDS.1379,group00127
AAA028I14.genome.CDS.815,group01106
AAA028I14.genome.CDS.1296,group00571
AAA028I14.genome.CDS.1374,group00205
