rxn05167_c0;bin_7_acI-B2_CDS_3263,
rxn05549_c0;bin_7_acI-B2_CDS_3825,
rxn10194_c0;bin_7_acI-B2_CDS_2506,bin_7_acI-B2_CDS_3100,
rxn05539_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn10571_c0;
rxn05544_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn05145_c0;bin_7_acI-B2_CDS_3032,bin_7_acI-B2_CDS_2092,bin_7_acI-B2_CDS_2187,bin_7_acI-B2_CDS_2186,bin_7_acI-B2_CDS_2093,bin_7_acI-B2_CDS_2091,bin_7_acI-B2_CDS_3035,bin_7_acI-B2_CDS_3034,bin_7_acI-B2_CDS_3033,
rxn05538_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn05179_c0;bin_7_acI-B2_CDS_3643,bin_7_acI-B2_CDS_3645,bin_7_acI-B2_CDS_3644,bin_7_acI-B2_CDS_3646,
rxn05527_c0;bin_7_acI-B2_CDS_2063,bin_7_acI-B2_CDS_3419,bin_7_acI-B2_CDS_3867,
rxn05667_c0;
rxn05161_c0;bin_7_acI-B2_CDS_3643,bin_7_acI-B2_CDS_3645,bin_7_acI-B2_CDS_3644,bin_7_acI-B2_CDS_3646,
rxn05542_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn05547_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn05540_c0;bin_7_acI-B2_CDS_3355,bin_7_acI-B2_CDS_2133,bin_7_acI-B2_CDS_2136,bin_7_acI-B2_CDS_2752,bin_7_acI-B2_CDS_2135,bin_7_acI-B2_CDS_3358,
rxn05468_c0;
rxn10474_c0;bin_7_acI-B2_CDS_3487,bin_7_acI-B2_CDS_2983,bin_7_acI-B2_CDS_2468,bin_7_acI-B2_CDS_4062,
rxn05682_c0;bin_7_acI-B2_CDS_2063,bin_7_acI-B2_CDS_3419,bin_7_acI-B2_CDS_3867,
