contig	BIN_10	MEint3864	MEint885
group00335	1	1	1
group00336	1	1	1
group00337	1	1	0
group00338	1	1	1
group00339	1	0	0
group00341	1	0	0
group00342	1	1	0
group00343	1	0	1
group00344	1	1	0
group00345	1	0	1
group00346	1	0	1
group00347	1	0	1
group00348	1	0	0
group00349	1	0	0
group00350	1	0	1
group00351	1	0	1
group00352	1	1	1
group00353	1	1	1
group00354	1	0	1
group00355	1	1	1
group00356	1	0	0
group00357	1	1	0
group00358	1	0	0
group00359	1	0	0
group00360	1	1	1
group00361	1	1	1
group00362	1	1	1
group00363	1	1	1
group00364	1	1	1
group00365	1	1	1
group00366	1	1	1
group00368	1	1	1
group00369	0	1	0
group00370	1	1	1
group00371	1	1	1
group00372	1	0	1
group00373	1	0	1
group00374	1	1	0
group00375	1	1	1
group00376	1	1	1
group00377	1	1	1
group00378	1	0	0
group00379	1	0	1
group00380	1	1	1
group00381	1	1	1
group00382	1	1	1
group00383	1	1	1
group00384	1	1	1
group00385	1	0	1
group00386	1	0	0
group00387	1	0	0
group00388	1	1	1
group00389	1	0	1
group00390	1	1	0
group00391	1	1	1
group00392	1	0	1
group00393	1	1	0
group00394	1	1	1
group00396	1	1	1
group00397	1	0	1
group00398	1	1	1
group00399	0	1	0
group00400	1	0	0
group00401	1	1	1
group00402	1	0	0
group00403	1	1	1
group00404	1	1	1
group00405	1	1	1
group00406	1	1	0
group00407	0	1	1
group00408	0	1	1
group00409	1	0	0
group00410	1	1	1
group00412	1	1	1
group00413	1	1	1
group00414	1	1	1
group00415	1	0	0
group00416	1	1	0
group00417	0	0	1
group00418	0	0	1
group00419	1	1	1
group00420	0	0	1
group00421	1	1	0
group00422	1	1	0
group00423	1	0	1
group00425	1	1	1
group00426	1	0	1
group00427	1	0	0
group00428	1	0	1
group00429	1	1	1
group00430	1	1	1
group00431	1	0	1
group00432	1	0	1
group00433	0	1	0
group00434	0	1	1
group00436	1	0	1
group00437	1	1	0
group00439	1	0	0
group00441	1	1	1
group00442	1	0	0
group00443	1	1	1
group00444	1	1	1
group00445	1	1	1
group00446	1	1	0
