cpd11421_c	cpd00029_c	rxn05733_c
cpd11421_c	cpd00084_c	rxn05733_c
cpd00722_c	cpd11420_c	rxn05733_c
cpd00722_c	cpd00029_c	rxn05733_c
cpd00722_c	cpd00084_c	rxn05733_c
cpd11492_c	cpd11493_c	rxn05350_c
cpd11492_c	cpd11490_c	rxn05350_c
cpd11472_c	cpd11493_c	rxn05350_c
cpd11472_c	cpd11490_c	rxn05350_c
cpd00041_c	cpd00032_c	rxn00262_c
cpd00810_c	cpd00091_c	rxn00710_c
cpd11436_c	cpd11437_c	rxn05249_c
cpd01217_c	cpd00475_c	rxn01649_c
cpd01217_c	cpd00309_c	rxn01649_c
cpd00475_c	cpd01217_c	rxn01649_c
cpd00309_c	cpd01217_c	rxn01649_c
cpd03495_c	cpd03496_c	rxn03409_c
cpd11492_c	cpd11533_c	rxn05396_c
cpd11492_c	cpd11493_c	rxn05396_c
cpd11532_c	cpd11533_c	rxn05396_c
cpd11532_c	cpd11493_c	rxn05396_c
cpd00345_c	cpd00125_c	rxn00910_c
cpd00125_c	cpd00345_c	rxn00910_c
cpd03491_c	cpd03492_c	rxn03407_c
cpd11492_c	cpd11493_c	rxn05363_c
cpd11492_c	cpd11500_c	rxn05363_c
cpd11499_c	cpd11493_c	rxn05363_c
cpd11499_c	cpd11500_c	rxn05363_c
cpd02210_c	cpd00102_c	rxn01682_c
cpd02210_c	cpd00359_c	rxn01682_c
cpd00102_c	cpd02210_c	rxn01682_c
cpd00359_c	cpd02210_c	rxn01682_c
cpd11495_c	cpd11493_c	rxn05359_c
cpd11495_c	cpd11496_c	rxn05359_c
cpd11492_c	cpd11493_c	rxn05359_c
cpd11492_c	cpd11496_c	rxn05359_c
cpd11476_c	cpd11493_c	rxn05458_c
cpd11476_c	cpd00134_c	rxn05458_c
cpd11493_c	cpd11476_c	rxn05458_c
cpd00134_c	cpd11476_c	rxn05458_c
cpd11540_c	cpd11493_c	rxn05453_c
cpd11540_c	cpd11437_c	rxn05453_c
cpd11493_c	cpd11540_c	rxn05453_c
cpd11437_c	cpd11540_c	rxn05453_c
cpd02851_c	cpd02884_c	rxn03137_c
cpd02884_c	cpd02851_c	rxn03137_c
cpd11492_c	cpd11493_c	rxn05367_c
cpd11492_c	cpd11504_c	rxn05367_c
cpd11503_c	cpd11493_c	rxn05367_c
cpd11503_c	cpd11504_c	rxn05367_c
cpd00080_c	cpd15545_c	rxn09111_c
cpd00080_c	cpd00046_c	rxn09111_c
cpd15419_c	cpd15545_c	rxn09111_c
cpd15419_c	cpd00046_c	rxn09111_c
cpd15545_c	cpd00080_c	rxn09111_c
cpd15545_c	cpd15419_c	rxn09111_c
cpd00046_c	cpd00080_c	rxn09111_c
cpd00046_c	cpd15419_c	rxn09111_c
cpd02182_c	cpd00221_c	rxn01274_c
cpd02182_c	cpd00042_c	rxn01274_c
cpd11581_c	cpd00033_c	rxn12645_c
cpd11581_c	cpd00132_c	rxn12645_c
cpd00033_c	cpd11581_c	rxn12645_c
cpd00132_c	cpd11581_c	rxn12645_c
cpd00207_c	cpd00126_c	rxn00915_c
cpd00103_c	cpd00126_c	rxn00915_c
cpd00038_c	cpd00047_c	rxn00299_c
cpd00038_c	cpd02978_c	rxn00299_c
cpd00061_c	cpd02820_c	rxn00461_c
cpd00037_c	cpd02820_c	rxn00461_c
cpd02820_c	cpd00061_c	rxn00461_c
cpd02820_c	cpd00037_c	rxn00461_c
cpd11825_c	cpd11493_c	rxn08089_c
cpd11825_c	cpd15527_c	rxn08089_c
cpd15328_c	cpd11493_c	rxn08089_c
cpd15328_c	cpd15527_c	rxn08089_c
cpd01695_c	cpd15522_c	rxn10212_c
cpd15331_c	cpd15522_c	rxn10212_c
cpd11553_c	cpd11554_c	rxn05417_c
cpd11553_c	cpd11493_c	rxn05417_c
cpd11492_c	cpd11554_c	rxn05417_c
cpd11492_c	cpd11493_c	rxn05417_c
cpd15678_c	cpd15684_c	rxn10221_c
cpd00052_c	cpd15684_c	rxn10221_c
cpd15684_c	cpd15678_c	rxn10221_c
cpd15684_c	cpd00052_c	rxn10221_c
cpd15325_c	cpd11493_c	rxn08083_c
cpd15325_c	cpd15521_c	rxn08083_c
cpd11468_c	cpd11493_c	rxn08083_c
cpd11468_c	cpd15521_c	rxn08083_c
cpd00038_c	cpd02740_c	rxn00303_c
cpd02740_c	cpd00038_c	rxn00303_c
cpd00135_c	cpd00060_c	rxn00693_c
cpd00060_c	cpd00135_c	rxn00693_c
cpd00050_c	cpd00015_c	rxn00122_c
cpd00002_c	cpd00015_c	rxn00122_c
cpd15523_c	cpd15422_c	rxn08308_c
cpd00052_c	cpd15422_c	rxn08308_c
cpd15422_c	cpd15523_c	rxn08308_c
